case_id,statement_id,rule_id,family_id,school,canon,rule_type,verdict,learnable,record_present,domain,year
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-66ddb3,M1-D-001,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-a5ac8f,M2-Y-119,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-a5ac8f,M2-Y-019,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-ce36a5,GP-BD-02,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-ce36a5,GP-CH-01,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-ce36a5,GP-CH-08-1,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-ce36a5,GP-BD-04,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-ce36a5,GP-BD-05,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-ce36a5,GP-BD-03,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-ce36a5,GP-CH-09,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-ce36a5,GP-BD-12,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-ce36a5,GP-BD-09,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-ce36a5,GP-BD-01,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-ce36a5,GP-XL-MIX,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-ce36a5,GP-CA-天乙贵人,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-ce36a5,GP-CA-驿马,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-ce36a5,GP-CA-羊刃,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
