case_id,statement_id,rule_id,family_id,school,canon,rule_type,verdict,learnable,record_present,domain,year
C-2026-025-坤-辛未乙未甲辰乙亥,S-025-d1a001,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,y,true,true,事业/财富,
C-2026-025-坤-辛未乙未甲辰乙亥,S-025-d2b001,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,婚恋,
C-2026-025-坤-辛未乙未甲辰乙亥,S-025-hl001,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,y,true,true,学习/旁证,
C-2026-025-坤-辛未乙未甲辰乙亥,S-025-cns001,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,y,true,true,财富,
C-2026-025-坤-辛未乙未甲辰乙亥,S-025-hl002,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,健康,
C-2026-025-坤-辛未乙未甲辰乙亥,S-025-yq2018,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,应期,
C-2026-025-坤-辛未乙未甲辰乙亥,S-025-yq2024,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,应期,
C-2026-025-坤-辛未乙未甲辰乙亥,S-025-yq2025,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,应期,
C-2026-025-坤-辛未乙未甲辰乙亥,S-025-yq2027,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,skip,false,true,应期,
C-2026-025-坤-辛未乙未甲辰乙亥,S-025-yq2029,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,skip,false,true,应期,
