case_id,statement_id,rule_id,family_id,school,canon,rule_type,verdict,learnable,record_present,domain,year
C-2026-026-坤-癸未甲寅壬戌丙午,S-026-d1a001,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,y,true,true,格局/事业财富,
C-2026-026-坤-癸未甲寅壬戌丙午,S-026-d2b001,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,y,true,true,婚恋/家庭,
C-2026-026-坤-癸未甲寅壬戌丙午,S-026-hl001,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,y,true,true,学业/旁证,
C-2026-026-坤-癸未甲寅壬戌丙午,S-026-cns001,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,y,true,true,财富,
C-2026-026-坤-癸未甲寅壬戌丙午,S-026-hl002,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,健康,
C-2026-026-坤-癸未甲寅壬戌丙午,S-026-yq2018,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,应期,
C-2026-026-坤-癸未甲寅壬戌丙午,S-026-yq2021,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,应期,
C-2026-026-坤-癸未甲寅壬戌丙午,S-026-yq2024,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,应期,
C-2026-026-坤-癸未甲寅壬戌丙午,S-026-yq2026,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,y,true,true,应期,
C-2026-026-坤-癸未甲寅壬戌丙午,S-026-yq2027,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,skip,false,true,应期,
