case_id,statement_id,rule_id,family_id,school,canon,rule_type,verdict,learnable,record_present,domain,year
C-2026-RF000243-坤-己卯己巳戊午丁巳,S-RF000243-83ff1b,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000243-坤-己卯己巳戊午丁巳,S-RF000243-5eff94,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,
C-2026-RF000243-坤-己卯己巳戊午丁巳,S-RF000243-61c196,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,skip,false,true,财运,
C-2026-RF000243-坤-己卯己巳戊午丁巳,S-RF000243-7a550f,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,财运,
C-2026-RF000243-坤-己卯己巳戊午丁巳,S-RF000243-ca78f0,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,skip,false,true,健康,
C-2026-RF000243-坤-己卯己巳戊午丁巳,S-RF000243-4e9897,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000243-坤-己卯己巳戊午丁巳,S-RF000243-b49ab3,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000243-坤-己卯己巳戊午丁巳,S-RF000243-3eb80e,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000243-坤-己卯己巳戊午丁巳,S-RF000243-2c6c0e,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,健康,
C-2026-RF000243-坤-己卯己巳戊午丁巳,S-RF000243-bbfed5,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,家庭,
C-2026-RF000243-坤-己卯己巳戊午丁巳,S-RF000243-1b46f8,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000243-坤-己卯己巳戊午丁巳,S-RF000243-3127dd,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000243-坤-己卯己巳戊午丁巳,S-RF000243-76cb44,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,健康,
C-2026-RF000243-坤-己卯己巳戊午丁巳,S-RF000243-c9218b,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000243-坤-己卯己巳戊午丁巳,S-RF000243-ba3d20,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,skip,false,true,事业,
C-2026-RF000243-坤-己卯己巳戊午丁巳,S-RF000243-097c5f,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,skip,false,true,婚姻,
