case_id,statement_id,rule_id,family_id,school,canon,rule_type,verdict,learnable,record_present,domain,year
C-2026-RF000524-坤-己巳丙寅戊戌丁巳,S-RF000524-1ad283,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000524-坤-己巳丙寅戊戌丁巳,S-RF000524-1451a3,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000524-坤-己巳丙寅戊戌丁巳,S-RF000524-a547af,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000524-坤-己巳丙寅戊戌丁巳,S-RF000524-027759,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000524-坤-己巳丙寅戊戌丁巳,S-RF000524-fa2d6d,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000524-坤-己巳丙寅戊戌丁巳,S-RF000524-874fcc,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,
C-2026-RF000524-坤-己巳丙寅戊戌丁巳,S-RF000524-c380f5,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,
C-2026-RF000524-坤-己巳丙寅戊戌丁巳,S-RF000524-5f0e87,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,
C-2026-RF000524-坤-己巳丙寅戊戌丁巳,S-RF000524-9338b0,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,
C-2026-RF000524-坤-己巳丙寅戊戌丁巳,S-RF000524-29b76c,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000524-坤-己巳丙寅戊戌丁巳,S-RF000524-8bef8d,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,其他,
C-2026-RF000524-坤-己巳丙寅戊戌丁巳,S-RF000524-52e122,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,skip,false,true,财运,
C-2026-RF000524-坤-己巳丙寅戊戌丁巳,S-RF000524-5134f2,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,skip,false,true,事业,
C-2026-RF000524-坤-己巳丙寅戊戌丁巳,S-RF000524-e88f2d,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,skip,false,true,健康,
C-2026-RF000524-坤-己巳丙寅戊戌丁巳,S-RF000524-7ef5f0,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,健康,
C-2026-RF000524-坤-己巳丙寅戊戌丁巳,S-RF000524-8c1f1f,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,skip,false,true,婚姻,
